iter	Logloss
0	0.6442895083
1	0.6043245048
2	0.5702347715
3	0.5408877495
4	0.5124607513
5	0.4894497484
6	0.4661699848
7	0.4458350214
8	0.4266227321
9	0.4113686794
10	0.3983701245
11	0.3847624797
12	0.3724121255
13	0.3618503567
14	0.3534962762
15	0.3454389386
16	0.3385568882
17	0.3309667325
18	0.3251312758
19	0.3182781903
20	0.3120509322
21	0.3066678626
22	0.3015079342
23	0.2981956215
24	0.2948307101
25	0.2908148378
26	0.2866302078
27	0.2820663614
28	0.2795011422
29	0.2766232855
30	0.2736947599
31	0.2711312958
32	0.2689463765
33	0.2666057098
34	0.2640198391
35	0.2623417235
36	0.2601476425
37	0.2576144212
38	0.25554226
39	0.2533473991
40	0.2520218629
41	0.2505646686
42	0.2491727919
43	0.2479833445
44	0.2468840547
45	0.2450713021
46	0.2436182202
47	0.2425963287
48	0.2419994246
49	0.2408682189
50	0.2400882809
51	0.2392250505
52	0.2381245423
53	0.2372083961
54	0.2366605796
55	0.2351008214
56	0.2344529644
57	0.2339496593
58	0.2328064272
59	0.2323849101
60	0.2315447223
61	0.2309899658
62	0.2303011851
63	0.2300319814
64	0.2284989
65	0.2276565044
66	0.227176484
67	0.2264420004
68	0.2261151461
69	0.2258488996
70	0.2253441644
71	0.2248746581
72	0.2246580472
73	0.2241596711
74	0.2239283202
75	0.223252677
76	0.2228557936
77	0.222455212
78	0.221940278
79	0.2216028789
80	0.2214090917
81	0.2203451712
82	0.2199643855
83	0.2194192528
84	0.2190885787
85	0.2187633119
86	0.2183617099
87	0.2176709875
88	0.2174917748
89	0.2172855746
90	0.2170815787
91	0.2169194251
92	0.2161403467
93	0.2156094632
94	0.2154033802
95	0.215194476
96	0.2143367978
97	0.2141343013
98	0.2138224359
99	0.2135952073
100	0.2132812841
101	0.213087234
102	0.2129571393
103	0.2127962381
104	0.2126134954
105	0.212378938
106	0.2118606024
107	0.2117801362
108	0.2115921107
109	0.2113868364
110	0.2112634242
111	0.2111571795
112	0.2106758997
113	0.2104554911
114	0.2103004358
115	0.2101852436
116	0.2100571041
117	0.209839405
118	0.2097208691
119	0.2093882896
120	0.2088957295
121	0.2088041513
122	0.2085756198
123	0.2080503028
124	0.2078929785
125	0.2076370607
126	0.2075766113
127	0.2074208279
128	0.2072322663
129	0.2071215491
130	0.2069583456
131	0.2068536243
132	0.2067271882
133	0.2063216602
134	0.2062198604
135	0.2061430973
136	0.2060055799
137	0.2058822714
138	0.2057799132
139	0.2056596626
140	0.2055798517
141	0.2053667207
142	0.2052496057
143	0.2051751089
144	0.2050504039
145	0.2049654085
146	0.2046674425
147	0.2044786036
148	0.2043645407
149	0.2042584839
150	0.2041869517
151	0.204070718
152	0.2040184379
153	0.2038775783
154	0.2036077594
155	0.2034994438
156	0.203345218
157	0.2032489635
158	0.2030256365
159	0.2028382287
160	0.2027177057
161	0.2026528207
162	0.2025186659
163	0.2022928383
164	0.2021628545
165	0.2021231471
166	0.2020359287
167	0.2019669338
168	0.2018702762
169	0.2017456332
170	0.201693511
171	0.2015315827
172	0.2014111721
173	0.2012734952
174	0.2011252063
175	0.2009919393
176	0.2009263489
177	0.2007791704
178	0.2007023679
179	0.2005536246
180	0.2003581476
181	0.2001204006
182	0.1999743446
183	0.1998892387
184	0.1996950669
185	0.1996334492
186	0.1995838919
187	0.1994500387
188	0.1993550045
189	0.19925057
190	0.1989627982
191	0.1988455824
192	0.1987676713
193	0.1987121481
194	0.1986614608
195	0.1985658778
196	0.1984883655
197	0.1984405424
198	0.1983677072
199	0.1981740422
200	0.1980562073
201	0.1979150903
202	0.1979077591
203	0.1978172792
204	0.1976703324
205	0.1974167241
206	0.1972738515
207	0.1971877791
208	0.1970604566
209	0.1969921697
210	0.1968575812
211	0.1966642124
212	0.1966021317
213	0.1964654541
214	0.1963519426
215	0.1962872371
216	0.1960805608
217	0.1960308673
218	0.1959199252
219	0.1958581684
220	0.1957800797
221	0.1957046403
222	0.1955979024
223	0.1954914526
224	0.1954231043
225	0.1953696127
226	0.195282696
227	0.1951173663
228	0.1950332665
229	0.1949433805
230	0.1948252211
231	0.1945955318
232	0.1945045811
233	0.1944520125
234	0.1942907185
235	0.1941746742
236	0.1939970169
237	0.1939207817
238	0.1938123984
239	0.1936892953
240	0.1936018812
241	0.1935404218
242	0.1933898388
243	0.1933043252
244	0.1932033414
245	0.1931063157
246	0.1930420788
247	0.1928198891
248	0.192719379
249	0.1924605359
250	0.1923486545
251	0.1922448703
252	0.1920397457
253	0.1919596828
254	0.1917843663
255	0.1917075245
256	0.1916307865
257	0.1915535956
258	0.191430943
259	0.1913524046
260	0.1911815476
261	0.1910838513
262	0.190995907
263	0.1909307497
264	0.1905621914
265	0.1903904539
266	0.1901942616
267	0.1900994441
268	0.1900070888
269	0.1899419709
270	0.1898757517
271	0.1898110908
272	0.1896590783
273	0.1895346406
274	0.1894549005
275	0.18935872
276	0.1892405876
277	0.189124659
278	0.1890363011
279	0.1889357526
280	0.1888455348
281	0.188739012
282	0.1884515342
283	0.1883628733
284	0.1882788831
285	0.1882366544
286	0.1881803793
287	0.1880016362
288	0.1879139759
289	0.1878679043
290	0.1877862822
291	0.1877145987
292	0.1875616734
293	0.1875135604
294	0.1874385451
295	0.187322066
296	0.1872600498
297	0.1872000772
298	0.1871153152
299	0.186961229
300	0.1869025757
301	0.1868213736
302	0.1867304868
303	0.1866221602
304	0.1865255493
305	0.1864008365
306	0.1863204992
307	0.1862368185
308	0.1860234021
309	0.1858585097
310	0.1857582447
311	0.1856964227
312	0.1856104511
313	0.1855696048
314	0.1854474811
315	0.1853753715
316	0.1852852141
317	0.1851968825
318	0.1851527574
319	0.1850898618
320	0.1849225491
321	0.1848638191
322	0.1847864602
323	0.184719255
324	0.1845869666
325	0.1844959297
326	0.1844196676
327	0.1843175793
328	0.1842658582
329	0.1841899692
330	0.1840822063
331	0.1839718148
332	0.1838924992
333	0.1838270306
334	0.183760758
335	0.1836643611
336	0.1835136154
337	0.1834586354
338	0.1833183742
339	0.183245712
340	0.1830650561
341	0.1830125075
342	0.1829566474
343	0.1828880859
344	0.1828333936
345	0.1827694107
346	0.1827137324
347	0.1825962595
348	0.182443122
349	0.1822985897
350	0.1821789713
351	0.1820511721
352	0.1819013819
353	0.1817851254
354	0.1816778418
355	0.1815860048
356	0.1815307545
357	0.1814325042
358	0.1813621937
359	0.1812823259
360	0.1812033281
361	0.1811494492
362	0.1810819914
363	0.1810178588
364	0.1809616951
365	0.180880626
366	0.1807207816
367	0.1806485574
368	0.180598801
369	0.1805038476
370	0.1804057083
371	0.1803502905
372	0.1802851739
373	0.1802631688
374	0.1801653222
375	0.1800934655
376	0.1799555844
377	0.1798987434
378	0.1797895782
379	0.1797033483
380	0.1796001091
381	0.1795410307
382	0.1794915281
383	0.179292806
384	0.179226359
385	0.1791999341
386	0.1791828927
387	0.1791506389
388	0.1791099583
389	0.1789323752
390	0.1788403535
391	0.1787497085
392	0.1785841737
393	0.1785006447
394	0.1784223852
395	0.1783658203
396	0.1783292021
397	0.1782673278
398	0.1780481519
399	0.1779265336
400	0.1778495222
401	0.1778129491
402	0.1777905443
403	0.1777022255
404	0.1776444254
405	0.1775931552
406	0.1775501541
407	0.1774628577
408	0.1774301023
409	0.1772898274
410	0.1772214452
411	0.1771900872
412	0.177105028
413	0.1770525759
414	0.1769653631
415	0.1769091769
416	0.1768430477
417	0.1767846602
418	0.1767165269
419	0.1766239751
420	0.1765097783
421	0.176440712
