iter	Passed	Remaining
0	3	3537
1	6	3287
2	9	3111
3	12	3147
4	15	3102
5	18	3069
6	21	3048
7	24	3020
8	27	3064
9	30	3040
10	33	3024
11	36	3029
12	39	3025
13	42	3027
14	46	3053
15	49	3044
16	52	3028
17	55	3013
18	58	3021
19	61	3011
20	64	3004
21	67	2995
22	70	2988
23	73	2984
24	76	2986
25	79	2985
26	82	2978
27	85	2970
28	88	2961
29	91	2958
30	95	2982
31	98	2980
32	101	2976
33	104	2966
34	107	2962
35	110	2953
36	113	2944
37	116	2947
38	119	2943
39	122	2943
40	125	2942
41	128	2937
42	131	2930
43	134	2930
44	137	2924
45	140	2920
46	143	2917
47	146	2910
48	149	2901
49	152	2892
50	155	2899
51	158	2894
52	161	2890
53	164	2890
54	167	2884
55	171	2885
56	174	2884
57	177	2882
58	180	2879
59	183	2881
60	187	2878
61	189	2873
62	192	2867
63	195	2864
64	199	2863
65	202	2861
66	205	2855
67	209	2875
68	212	2873
69	216	2871
70	219	2866
71	222	2863
72	225	2859
73	228	2858
74	231	2856
75	234	2850
76	237	2845
77	240	2840
78	243	2837
79	246	2831
80	249	2829
81	252	2826
82	255	2825
83	258	2820
84	261	2815
85	264	2811
86	267	2810
87	270	2807
88	273	2802
89	276	2798
90	279	2791
91	282	2786
92	285	2780
93	287	2773
94	290	2770
95	293	2762
96	296	2757
97	298	2751
98	301	2743
99	304	2736
100	306	2730
101	309	2724
102	312	2718
103	314	2712
104	319	2719
105	321	2711
106	324	2707
107	327	2701
108	329	2695
109	332	2688
110	334	2681
111	337	2674
112	339	2668
113	342	2663
114	345	2657
115	347	2650
116	350	2645
117	353	2638
118	355	2630
119	358	2627
120	361	2622
121	363	2616
122	366	2610
123	368	2603
124	371	2599
125	374	2596
126	376	2590
127	379	2585
128	381	2578
129	384	2572
130	386	2566
131	389	2560
132	391	2554
133	394	2549
134	396	2543
135	399	2536
136	401	2530
137	404	2524
138	406	2520
139	409	2515
140	412	2510
141	414	2504
142	416	2498
143	419	2491
144	421	2486
145	423	2480
146	426	2474
147	428	2468
148	431	2462
149	433	2456
150	436	2451
151	438	2446
152	440	2441
153	443	2436
154	445	2430
155	448	2426
156	450	2421
157	453	2415
158	455	2410
159	458	2405
160	460	2401
161	463	2395
162	465	2390
163	467	2385
164	470	2380
165	472	2375
166	475	2371
167	477	2366
168	480	2360
169	482	2355
170	484	2349
171	487	2345
172	489	2340
173	491	2335
174	494	2331
175	496	2326
176	499	2321
177	501	2317
178	504	2312
179	506	2307
180	508	2302
181	511	2298
182	515	2300
183	518	2297
184	520	2293
185	522	2288
186	525	2283
187	527	2279
188	530	2275
189	532	2270
190	535	2266
191	537	2263
192	540	2259
193	542	2254
194	545	2250
195	547	2245
196	550	2242
197	552	2238
198	554	2233
199	557	2229
200	559	2225
201	562	2221
202	563	2212
203	565	2208
204	568	2204
205	570	2199
206	573	2196
207	575	2191
208	578	2189
209	581	2185
210	583	2181
211	586	2178
212	588	2174
213	590	2170
214	593	2166
215	595	2161
216	597	2157
217	600	2154
218	602	2150
219	605	2146
220	608	2143
221	610	2139
222	612	2135
223	615	2131
224	619	2132
225	621	2129
226	624	2127
227	626	2122
228	629	2119
229	631	2115
230	634	2111
231	636	2107
232	639	2104
233	642	2104
234	645	2101
235	647	2097
236	650	2093
237	652	2090
238	655	2086
239	657	2083
240	660	2079
241	662	2075
242	665	2071
243	667	2068
244	669	2064
245	672	2060
246	674	2056
247	677	2053
248	679	2049
249	681	2045
250	684	2042
251	686	2038
252	689	2035
253	691	2031
254	694	2027
255	696	2024
256	698	2020
257	701	2017
258	703	2013
259	706	2010
260	708	2006
261	711	2004
262	714	2001
263	716	1998
264	719	1994
265	721	1991
266	724	1987
267	726	1983
268	729	1982
269	731	1978
270	734	1974
271	736	1970
272	740	1970
273	742	1967
274	745	1964
275	747	1961
276	750	1958
277	752	1954
278	755	1951
279	757	1947
280	759	1944
281	762	1940
282	764	1937
283	767	1934
284	769	1931
285	772	1927
286	774	1923
287	777	1921
288	779	1917
289	781	1914
290	784	1911
291	786	1908
292	789	1904
293	791	1901
294	794	1898
295	796	1894
296	799	1891
297	801	1888
298	803	1884
299	806	1881
300	808	1877
301	811	1875
302	813	1871
303	816	1868
304	818	1865
305	821	1862
306	823	1859
307	826	1856
308	828	1853
309	831	1849
310	833	1846
311	835	1842
312	838	1839
313	840	1836
314	842	1833
315	845	1829
316	847	1826
317	850	1823
318	852	1819
319	854	1816
320	857	1812
321	859	1809
322	861	1805
323	863	1802
324	866	1798
325	868	1795
326	870	1792
327	873	1789
328	875	1785
329	878	1782
330	880	1779
331	882	1776
332	885	1772
333	887	1769
334	889	1766
335	892	1762
336	894	1759
337	896	1756
338	899	1753
339	901	1750
340	904	1747
341	906	1744
342	909	1741
