iter	Passed	Remaining
0	2	2784
1	5	2567
2	7	2470
3	9	2448
4	12	2430
5	14	2412
6	16	2392
7	19	2374
8	22	2482
9	24	2464
10	27	2450
11	29	2439
12	31	2429
13	34	2420
14	36	2409
15	38	2395
16	41	2382
17	43	2373
18	46	2376
19	48	2372
20	50	2370
21	53	2370
22	55	2376
23	58	2377
24	60	2372
25	63	2366
26	65	2361
27	67	2355
28	70	2347
29	72	2342
30	74	2337
31	77	2332
32	79	2328
33	81	2320
34	84	2316
35	86	2310
36	88	2304
37	90	2297
38	93	2294
39	95	2289
40	97	2283
41	99	2278
42	102	2275
43	104	2271
44	106	2266
45	109	2261
46	111	2259
47	113	2255
48	115	2248
49	118	2246
50	120	2242
51	123	2242
52	125	2244
53	128	2248
54	130	2245
55	133	2246
56	135	2246
57	138	2245
58	140	2241
59	142	2236
60	145	2233
61	147	2229
62	149	2228
63	152	2223
64	154	2221
65	156	2218
66	159	2216
67	161	2215
68	163	2212
69	166	2209
70	168	2207
71	171	2205
72	173	2201
73	175	2197
74	177	2194
75	180	2190
76	182	2187
77	184	2184
78	187	2181
79	189	2178
80	191	2173
81	193	2170
82	196	2169
83	198	2167
84	201	2164
85	203	2160
86	205	2158
87	207	2155
88	210	2152
89	212	2150
90	215	2147
91	217	2150
92	220	2153
93	223	2150
94	225	2147
95	227	2145
96	230	2143
97	232	2141
98	234	2138
99	237	2135
100	239	2134
101	242	2130
102	244	2127
103	246	2124
104	248	2120
105	250	2116
106	253	2113
107	255	2109
108	257	2107
109	259	2103
110	262	2099
111	264	2095
112	266	2093
113	268	2090
114	271	2087
115	273	2083
116	275	2081
117	278	2078
118	280	2076
119	282	2073
120	284	2069
121	287	2066
122	289	2063
123	291	2061
124	294	2058
125	296	2056
126	298	2053
127	301	2051
128	303	2049
129	305	2045
130	308	2043
131	310	2040
132	312	2038
133	315	2041
134	318	2039
135	320	2038
136	323	2036
137	325	2034
138	328	2032
139	330	2030
140	333	2029
141	335	2028
142	338	2025
143	340	2023
144	342	2020
145	344	2017
146	347	2014
147	349	2012
148	351	2009
149	354	2006
150	356	2003
151	358	2001
152	360	1998
153	363	1995
154	365	1993
155	368	1991
156	370	1989
157	372	1986
158	375	1983
159	377	1980
160	379	1977
161	381	1973
162	383	1971
163	386	1969
164	388	1966
165	390	1963
166	393	1960
167	396	1961
168	398	1959
169	400	1957
170	403	1954
171	405	1951
172	407	1949
173	410	1946
174	412	1943
175	414	1941
176	417	1940
177	419	1939
178	422	1936
179	424	1934
180	427	1932
181	429	1931
182	432	1930
183	434	1927
184	436	1925
185	439	1922
186	441	1920
187	444	1918
188	446	1916
189	449	1914
190	451	1911
191	453	1909
192	456	1907
193	458	1905
194	460	1903
195	463	1901
196	465	1898
197	468	1896
198	470	1893
199	472	1890
200	475	1888
201	477	1885
202	478	1879
203	480	1876
204	483	1874
205	485	1872
206	487	1869
207	490	1866
208	492	1864
209	495	1862
210	497	1860
211	499	1857
212	502	1854
213	504	1852
214	506	1849
215	508	1846
216	511	1844
217	513	1842
218	515	1839
219	518	1839
220	521	1838
221	523	1835
222	526	1834
223	529	1832
224	531	1830
225	533	1827
226	536	1825
227	538	1823
228	540	1820
229	543	1818
230	545	1816
231	547	1813
232	550	1811
233	552	1808
234	554	1806
235	557	1803
236	559	1801
237	561	1798
238	564	1795
239	566	1793
240	568	1790
241	570	1787
242	572	1784
243	575	1782
244	577	1780
245	579	1777
246	582	1774
247	584	1771
248	586	1769
249	588	1766
250	591	1764
251	593	1761
252	595	1758
253	598	1756
254	600	1753
255	602	1751
256	604	1748
257	607	1745
258	609	1743
259	611	1741
260	614	1739
261	616	1736
262	619	1734
263	621	1732
264	624	1730
265	626	1728
266	628	1726
267	631	1724
268	633	1721
269	635	1718
270	637	1716
271	640	1713
272	642	1711
273	644	1708
274	647	1706
275	649	1703
276	651	1701
277	654	1699
278	656	1696
279	659	1694
280	661	1692
281	663	1689
282	665	1687
283	668	1684
284	670	1682
285	672	1680
286	675	1677
287	677	1674
288	679	1672
289	681	1669
290	684	1666
291	686	1664
292	688	1661
293	690	1659
294	693	1656
295	695	1654
296	698	1653
297	700	1650
298	703	1649
299	705	1647
300	708	1644
301	710	1642
302	713	1641
303	716	1639
304	718	1637
305	720	1635
306	723	1633
307	725	1630
308	727	1627
309	730	1625
310	732	1622
311	734	1620
312	737	1617
313	739	1615
314	741	1612
315	743	1610
316	746	1607
317	748	1605
318	750	1602
319	752	1599
320	755	1597
321	757	1594
322	759	1592
323	761	1589
324	764	1587
325	766	1584
326	768	1582
327	771	1579
328	773	1577
329	775	1574
330	777	1572
331	780	1569
332	782	1567
333	784	1564
334	787	1562
335	789	1560
336	791	1557
337	794	1555
338	796	1553
339	798	1550
340	801	1548
341	803	1545
342	805	1543
343	808	1540
344	810	1538
345	812	1536
346	815	1534
347	817	1531
348	820	1529
349	822	1527
350	824	1525
351	827	1523
352	829	1520
353	832	1518
354	834	1516
355	837	1514
356	839	1512
357	841	1509
358	844	1507
359	846	1504
360	848	1502
361	850	1499
362	853	1496
363	855	1494
364	857	1491
365	859	1489
366	862	1486
367	864	1484
368	866	1481
369	868	1479
370	871	1476
371	873	1474
372	875	1471
373	877	1469
374	879	1466
375	882	1463
376	884	1461
377	886	1458
378	888	1456
379	891	1454
380	893	1451
381	895	1449
382	898	1447
383	900	1444
384	903	1442
385	905	1440
386	907	1437
387	910	1435
388	913	1434
389	915	1432
390	918	1430
391	922	1430
392	925	1429
393	927	1427
394	930	1424
395	932	1422
396	935	1420
397	937	1417
398	939	1415
399	942	1413
400	944	1410
401	946	1408
402	949	1406
403	951	1404
404	954	1401
405	956	1399
406	958	1396
407	960	1394
408	963	1391
409	965	1389
410	967	1386
411	970	1384
412	972	1382
413	974	1379
414	977	1377
415	979	1374
416	981	1372
417	984	1370
418	986	1367
419	988	1364
420	990	1362
421	992	1360
422	995	1357
423	997	1355
424	1000	1353
425	1002	1350
426	1005	1348
427	1007	1346
428	1009	1344
429	1012	1342
430	1014	1339
431	1017	1337
432	1019	1334
433	1022	1333
434	1024	1331
435	1027	1328
436	1029	1326
437	1031	1324
438	1034	1321
439	1036	1319
440	1038	1316
441	1041	1314
442	1043	1312
443	1046	1310
444	1048	1308
445	1051	1305
446	1053	1303
447	1055	1300
448	1057	1298
449	1060	1295
450	1062	1293
451	1064	1290
452	1066	1288
453	1069	1285
454	1071	1283
455	1073	1280
456	1075	1278
457	1078	1275
458	1080	1273
459	1082	1271
460	1084	1268
461	1087	1266
462	1089	1263
463	1091	1261
464	1093	1258
465	1096	1256
466	1098	1253
467	1101	1251
468	1103	1249
469	1105	1246
470	1108	1244
471	1110	1242
472	1112	1239
473	1114	1237
474	1117	1234
475	1119	1232
476	1122	1230
477	1124	1227
478	1126	1225
479	1129	1223
480	1131	1220
481	1133	1218
482	1137	1217
483	1139	1215
484	1142	1212
485	1144	1210
486	1148	1209
487	1150	1207
488	1153	1205
489	1155	1202
490	1157	1200
491	1160	1198
492	1162	1195
493	1164	1193
494	1167	1190
495	1169	1188
496	1171	1186
497	1174	1183
498	1176	1181
499	1178	1178
500	1181	1176
501	1183	1174
502	1186	1172
503	1188	1169
504	1191	1167
505	1193	1165
506	1195	1162
507	1198	1160
508	1200	1158
509	1203	1156
510	1205	1153
511	1208	1151
512	1210	1149
513	1213	1146
514	1216	1145
515	1218	1143
516	1221	1140
517	1223	1138
518	1225	1136
519	1228	1133
520	1230	1131
521	1233	1129
522	1235	1126
523	1237	1124
524	1240	1122
525	1242	1119
526	1244	1117
527	1247	1114
528	1249	1112
529	1251	1110
530	1254	1107
531	1256	1105
532	1259	1103
533	1261	1100
534	1263	1098
535	1265	1095
536	1268	1093
537	1270	1091
538	1272	1088
539	1275	1086
540	1277	1083
541	1279	1081
542	1282	1079
543	1284	1076
544	1286	1074
545	1289	1071
546	1291	1069
547	1294	1067
548	1296	1065
549	1299	1062
550	1301	1060
551	1303	1058
552	1306	1056
553	1308	1053
554	1311	1051
